Timestamp,What is your age?,What is your gender?,Espresso,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Double Espresso,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Americano,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Cappuccino,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Latte,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Flat White,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Macchiato,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Cortado,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Affogato,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Mocha  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Oat Milk Latte,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Almond Milk Latte,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Soy Milk Latte  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Coconut Milk Latte,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Oat Milk Americano,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Almond Milk Americano,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Soy Milk Americano,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Coconut Milk Americano,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Oat Milk Cappuccino,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,"Almond Milk Cappuccino
",What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Soy Milk Cappuccino,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Coconut Milk Cappuccino,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Iced Americano,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Iced Latte,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Iced Vanilla Latte,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Iced Caramel Latte,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Cold Brew,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Decaf Americano,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Decaf Espresso,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Decaf Cappuccino  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Decaf Latte  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Decaf Flat White,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Vienna Coffee  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Irish Coffee  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Turkish Coffee  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Pour Over  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Pumpkin Spice Latte  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Salted Caramel Latte  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Vanilla Latte  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Caramel Latte  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Gingerbread Latte  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Hazelnut Latte  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Matcha Latte,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Chai Latte,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Peppermint Latte,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Dirty Chai,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Chamomile Tea,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Peppermint Tea  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Ginger Tea  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Lavender Tea  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,  Hibiscus Tea  ,What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Irish Tea (without milk),What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?,Irish Tea (with Milk),What time of day do you normally drink this drink?,Which of the following best describes how you feel before drinking this?
2/19/2026 12:46:01,18 - 24,Female,1,Morning,Tired and need a boost,1,Morning,Tired and need a boost,1,Morning,Tired and need a boost,5,Morning,Tired and need a boost,5,Morning,"Fairly okay, just want a drink",2,Morning,"Fairly okay, just want a drink",3,Morning,"Fairly okay, just want a drink",,,,,,,4,Afternoon,"Fairly okay, just want a drink",4,Morning,"Fairly okay, just want a drink",,,,,,,4,Morning,"Fairly okay, just want a drink",,,,,,,,,,,,,4,Morning,Tired and need a boost,,,,,,,4,Morning,Tired and need a boost,3,Afternoon,"Fairly okay, just want a drink",4,Afternoon,"Fairly okay, just want a drink",5,Afternoon,"Fairly okay, just want a drink",5,Afternoon,"Fairly okay, just want a drink",,,,,,,,,,3,Night,Relaxed and winding down,4,Night,Relaxed and winding down,2,Night,,,,,,,,,,,,,,4,Afternoon,"Fairly okay, just want a drink",4,Afternoon,"Fairly okay, just want a drink",5,Afternoon,"Fairly okay, just want a drink",5,Afternoon,"Fairly okay, just want a drink",4,Afternoon,"Fairly okay, just want a drink",3,Afternoon,"Fairly okay, just want a drink",5,Afternoon,Relaxed and winding down,4,Afternoon,Relaxed and winding down,,,,,,,5,Night,Relaxed and winding down,5,Night,Relaxed and winding down,4,Night,Relaxed and winding down,5,Night,Relaxed and winding down,3,Night,Relaxed and winding down,1,Night,Relaxed and winding down,4,Night,Relaxed and winding down
2/24/2026 9:26:05,18 - 24,Male,,,,,,,,,,4,Afternoon,"Fairly okay, just want a drink",5,Afternoon,Relaxed and winding down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Morning,Relaxed and winding down,3,Afternoon,Relaxed and winding down,2,Afternoon,"Fairly okay, just want a drink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2026 9:28:27,18 - 24,Female,,,,,,,,,,3,Afternoon,"Fairly okay, just want a drink",4,Morning,Tired and need a boost,,,,,,,,,,,,,5,Morning,Tired and need a boost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Afternoon,"Fairly okay, just want a drink",5,Afternoon,"Fairly okay, just want a drink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Night,Relaxed and winding down,,,,,,,,,,,,,,,,4,Morning,"Fairly okay, just want a drink"
2/24/2026 9:33:13,18 - 24,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2026 9:33:33,18 - 24,Male,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,Morning,"Fairly okay, just want a drink",5,Morning,"Fairly okay, just want a drink"
2/24/2026 9:34:44,18 - 24,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2026 9:35:33,18 - 24,Male,3,Afternoon,Relaxed and winding down,,,,4,Morning,"Fairly okay, just want a drink",2,Afternoon,Tired and need a boost,5,Afternoon,"Fairly okay, just want a drink",3,Afternoon,"Fairly okay, just want a drink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Afternoon,"Fairly okay, just want a drink",5,Afternoon,"Fairly okay, just want a drink",4,Afternoon,"Fairly okay, just want a drink",5,Afternoon,"Fairly okay, just want a drink",4,Morning,Tired and need a boost,,,,,,,,,,,,,,,,,,,4,Night,Relaxed and winding down,,,,,,,,,,4,Afternoon,"Fairly okay, just want a drink",4,Afternoon,"Fairly okay, just want a drink",4,Afternoon,"Fairly okay, just want a drink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Morning,"Fairly okay, just want a drink",5,Night,Relaxed and winding down
2/24/2026 9:36:06,18 - 24,Male,5,Morning,Tired and need a boost,5,Morning,Tired and need a boost,5,Morning,Tired and need a boost,5,Morning,Tired and need a boost,5,Morning,Tired and need a boost,5,Morning,Tired and need a boost,5,Morning,Tired and need a boost,5,Morning,Tired and need a boost,5,Morning,Tired and need a boost,5,Morning,Tired and need a boost,1,Morning,Tired and need a boost,1,Morning,Tired and need a boost,1,Morning,Tired and need a boost,5,Morning,,1,Morning,Tired and need a boost,1,Morning,Tired and need a boost,1,Morning,Tired and need a boost,5,Morning,Tired and need a boost,1,Morning,Tired and need a boost,1,Morning,Tired and need a boost,1,Morning,Tired and need a boost,5,Morning,Tired and need a boost,3,Morning,Tired and need a boost,3,Morning,Tired and need a boost,1,Morning,Tired and need a boost,5,Morning,Tired and need a boost,5,Night,"Fairly okay, just want a drink",1,Night,Relaxed and winding down,1,Night,Relaxed and winding down,1,Night,Relaxed and winding down,1,Night,Relaxed and winding down,1,Night,Relaxed and winding down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2026 9:36:42,18 - 24,Male,2,Morning,"Fairly okay, just want a drink",1,Morning,"Fairly okay, just want a drink",3,Afternoon,"Fairly okay, just want a drink",4,Afternoon,"Fairly okay, just want a drink",3,Afternoon,"Fairly okay, just want a drink",3,Afternoon,"Fairly okay, just want a drink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Afternoon,"Fairly okay, just want a drink",1,Afternoon,"Fairly okay, just want a drink",1,Afternoon,"Fairly okay, just want a drink",1,Afternoon,"Fairly okay, just want a drink",,,,,,,,,,,,,,,,,,,,,,3,Afternoon,"Fairly okay, just want a drink",4,Morning,"Fairly okay, just want a drink",,,,,,,,,,3,Afternoon,"Fairly okay, just want a drink",3,Afternoon,"Fairly okay, just want a drink",,,,3,Afternoon,"Fairly okay, just want a drink",,,,,,,,,,,,,,,,2,Night,"Fairly okay, just want a drink",3,Afternoon,"Fairly okay, just want a drink",,,,,,,,,,,,
2/24/2026 9:36:43,18 - 24,Male,4,Morning,Tired and need a boost,4,Morning,Tired and need a boost,2,,,3,Morning,"Fairly okay, just want a drink",4,Afternoon,"Fairly okay, just want a drink",5,Morning,Tired and need a boost,,,,,,,,,,3,Afternoon,Relaxed and winding down,4,Afternoon,"Fairly okay, just want a drink",,,,,,,,,,,,,,,,,,,,,,3,Afternoon,"Fairly okay, just want a drink",,,,,,,,,,1,,,3,,,,,,,,,,,,,,,3,Afternoon,"Fairly okay, just want a drink",,,,,,,4,Afternoon,Relaxed and winding down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Morning,Relaxed and winding down,,,,,,,,,,,,
